NewValues are red flaot: 0.650980, green float: 0.600000, blue float: 0.564706
NewValues are red flaot: 0.792157, green float: 0.745098, blue float: 0.698039
NewValues are red flaot: 0.800000, green float: 0.752941, blue float: 0.705882
NewValues are red flaot: 0.717647, green float: 0.670588, blue float: 0.615686
NewValues are red flaot: 0.650980, green float: 0.603922, blue float: 0.556863
NewValues are red flaot: 0.525490, green float: 0.470588, blue float: 0.435294
NewValues are red flaot: 0.670588, green float: 0.611765, blue float: 0.592157
NewValues are red flaot: 0.568627, green float: 0.505882, blue float: 0.509804
NewValues are red flaot: 0.694118, green float: 0.623529, blue float: 0.607843
NewValues are red flaot: 0.870588, green float: 0.811765, blue float: 0.721569
NewValues are red flaot: 0.788235, green float: 0.733333, blue float: 0.596078
NewValues are red flaot: 0.831373, green float: 0.752941, blue float: 0.615686
NewValues are red flaot: 0.505882, green float: 0.403922, blue float: 0.313726
NewValues are red flaot: 0.639216, green float: 0.494118, blue float: 0.521569
NewValues are red flaot: 0.968627, green float: 0.776471, blue float: 0.890196
NewValues are red flaot: 0.835294, green float: 0.607843, blue float: 0.764706
NewValues are red flaot: 0.788235, green float: 0.521569, blue float: 0.721569
NewValues are red flaot: 0.894118, green float: 0.600000, blue float: 0.831373
NewValues are red flaot: 0.921569, green float: 0.592157, blue float: 0.894118
NewValues are red flaot: 0.803922, green float: 0.431373, blue float: 0.839216
NewValues are red flaot: 0.831373, green float: 0.431373, blue float: 0.870588
NewValues are red flaot: 0.988235, green float: 0.560784, blue float: 0.972549
NewValues are red flaot: 0.956863, green float: 0.501961, blue float: 0.898039
NewValues are red flaot: 1.000000, green float: 0.564706, blue float: 0.960784
NewValues are red flaot: 0.952941, green float: 0.443137, blue float: 0.870588
NewValues are red flaot: 1.000000, green float: 0.482353, blue float: 0.988235
NewValues are red flaot: 1.000000, green float: 0.470588, blue float: 1.000000
NewValues are red flaot: 1.000000, green float: 0.560784, blue float: 1.000000
NewValues are red flaot: 1.000000, green float: 0.580392, blue float: 1.000000
NewValues are red flaot: 0.882353, green float: 0.498039, blue float: 0.792157
NewValues are red flaot: 0.662745, green float: 0.329412, blue float: 0.545098
NewValues are red flaot: 0.839216, green float: 0.533333, blue float: 0.729412
NewValues are red flaot: 0.921569, green float: 0.619608, blue float: 0.839216
NewValues are red flaot: 1.000000, green float: 0.733333, blue float: 1.000000
NewValues are red flaot: 1.000000, green float: 0.690196, blue float: 0.964706
NewValues are red flaot: 0.894118, green float: 0.525490, blue float: 0.760784
NewValues are red flaot: 0.760784, green float: 0.443137, blue float: 0.603922
NewValues are red flaot: 0.686275, green float: 0.501961, blue float: 0.541176
NewValues are red flaot: 0.556863, green float: 0.435294, blue float: 0.427451
NewValues are red flaot: 0.490196, green float: 0.352941, blue float: 0.380392
NewValues are red flaot: 0.392157, green float: 0.243137, blue float: 0.294118
NewValues are red flaot: 0.411765, green float: 0.247059, blue float: 0.301961
NewValues are red flaot: 0.556863, green float: 0.372549, blue float: 0.435294
NewValues are red flaot: 0.670588, green float: 0.470588, blue float: 0.537255
NewValues are red flaot: 0.517647, green float: 0.305882, blue float: 0.407843
NewValues are red flaot: 0.709804, green float: 0.470588, blue float: 0.631373
NewValues are red flaot: 0.784314, green float: 0.552941, blue float: 0.741176
NewValues are red flaot: 0.811765, green float: 0.584314, blue float: 0.772549
NewValues are red flaot: 0.694118, green float: 0.498039, blue float: 0.635294
NewValues are red flaot: 0.639216, green float: 0.490196, blue float: 0.541176
NewValues are red flaot: 0.564706, green float: 0.450980, blue float: 0.427451
NewValues are red flaot: 0.439216, green float: 0.368627, blue float: 0.282353
NewValues are red flaot: 0.584314, green float: 0.447059, blue float: 0.439216
NewValues are red flaot: 0.745098, green float: 0.443137, blue float: 0.654902
NewValues are red flaot: 0.721569, green float: 0.333333, blue float: 0.654902
NewValues are red flaot: 0.572549, green float: 0.164706, blue float: 0.498039
NewValues are red flaot: 0.603922, green float: 0.211765, blue float: 0.494118
NewValues are red flaot: 0.752941, green float: 0.419608, blue float: 0.584314
NewValues are red flaot: 0.658824, green float: 0.364706, blue float: 0.517647
NewValues are red flaot: 0.533333, green float: 0.258824, blue float: 0.494118
NewValues are red flaot: 0.658824, green float: 0.364706, blue float: 0.698039
NewValues are red flaot: 0.690196, green float: 0.301961, blue float: 0.756863
NewValues are red flaot: 0.835294, green float: 0.360784, blue float: 0.866667
NewValues are red flaot: 0.843137, green float: 0.282353, blue float: 0.784314
NewValues are red flaot: 0.819608, green float: 0.266667, blue float: 0.717647
NewValues are red flaot: 0.854902, green float: 0.388235, blue float: 0.749020
NewValues are red flaot: 0.847059, green float: 0.525490, blue float: 0.705882
NewValues are red flaot: 0.501961, green float: 0.380392, blue float: 0.298039
NewValues are red flaot: 0.494118, green float: 0.439216, blue float: 0.301961
NewValues are red flaot: 0.470588, green float: 0.341176, blue float: 0.368627
NewValues are red flaot: 0.415686, green float: 0.258824, blue float: 0.360784
NewValues are red flaot: 0.345098, green float: 0.188235, blue float: 0.282353
NewValues are red flaot: 0.474510, green float: 0.309804, blue float: 0.396078
NewValues are red flaot: 0.568627, green float: 0.380392, blue float: 0.474510
NewValues are red flaot: 0.537255, green float: 0.317647, blue float: 0.431373
NewValues are red flaot: 0.603922, green float: 0.325490, blue float: 0.482353
NewValues are red flaot: 0.682353, green float: 0.352941, blue float: 0.549020
NewValues are red flaot: 0.737255, green float: 0.345098, blue float: 0.596078
NewValues are red flaot: 0.847059, green float: 0.411765, blue float: 0.709804
NewValues are red flaot: 0.964706, green float: 0.509804, blue float: 0.835294
NewValues are red flaot: 0.956863, green float: 0.509804, blue float: 0.850980
NewValues are red flaot: 0.898039, green float: 0.474510, blue float: 0.811765
NewValues are red flaot: 0.835294, green float: 0.435294, blue float: 0.764706
NewValues are red flaot: 0.717647, green float: 0.360784, blue float: 0.670588
NewValues are red flaot: 0.627451, green float: 0.349020, blue float: 0.584314
NewValues are red flaot: 0.525490, green float: 0.349020, blue float: 0.462745
NewValues are red flaot: 0.505882, green float: 0.372549, blue float: 0.439216
NewValues are red flaot: 0.407843, green float: 0.250980, blue float: 0.345098
NewValues are red flaot: 0.376471, green float: 0.203922, blue float: 0.309804
NewValues are red flaot: 0.545098, green float: 0.352941, blue float: 0.466667
NewValues are red flaot: 0.490196, green float: 0.301961, blue float: 0.403922
NewValues are red flaot: 0.454902, green float: 0.278431, blue float: 0.356863
NewValues are red flaot: 0.568627, green float: 0.423529, blue float: 0.454902
NewValues are red flaot: 0.619608, green float: 0.509804, blue float: 0.494118
NewValues are red flaot: 0.490196, green float: 0.423529, blue float: 0.352941
NewValues are red flaot: 0.486275, green float: 0.450980, blue float: 0.337255
NewValues are red flaot: 0.545098, green float: 0.521569, blue float: 0.380392
NewValues are red flaot: 0.466667, green float: 0.450980, blue float: 0.301961
NewValues are red flaot: 0.345098, green float: 0.333333, blue float: 0.172549
NewValues are red flaot: 0.345098, green float: 0.329412, blue float: 0.180392
NewValues are red flaot: 0.419608, green float: 0.400000, blue float: 0.250980
NewValues are red flaot: 0.368627, green float: 0.349020, blue float: 0.200000
NewValues are red flaot: 0.227451, green float: 0.207843, blue float: 0.058824
NewValues are red flaot: 0.478431, green float: 0.447059, blue float: 0.301961
NewValues are red flaot: 0.447059, green float: 0.427451, blue float: 0.278431
NewValues are red flaot: 0.309804, green float: 0.278431, blue float: 0.137255
NewValues are red flaot: 0.345098, green float: 0.321569, blue float: 0.180392
NewValues are red flaot: 0.494118, green float: 0.458824, blue float: 0.329412
NewValues are red flaot: 0.462745, green float: 0.439216, blue float: 0.305882
NewValues are red flaot: 0.384314, green float: 0.349020, blue float: 0.227451
NewValues are red flaot: 0.270588, green float: 0.243137, blue float: 0.129412
NewValues are red flaot: 0.203922, green float: 0.164706, blue float: 0.058824
NewValues are red flaot: 0.298039, green float: 0.270588, blue float: 0.160784
NewValues are red flaot: 0.525490, green float: 0.486275, blue float: 0.388235
NewValues are red flaot: 0.592157, green float: 0.564706, blue float: 0.462745
NewValues are red flaot: 0.509804, green float: 0.470588, blue float: 0.372549
NewValues are red flaot: 0.470588, green float: 0.427451, blue float: 0.341176
NewValues are red flaot: 0.305882, green float: 0.262745, blue float: 0.184314
NewValues are red flaot: 0.298039, green float: 0.254902, blue float: 0.184314
NewValues are red flaot: 0.325490, green float: 0.282353, blue float: 0.203922
NewValues are red flaot: 0.364706, green float: 0.321569, blue float: 0.243137
NewValues are red flaot: 0.423529, green float: 0.380392, blue float: 0.294118
NewValues are red flaot: 0.513726, green float: 0.474510, blue float: 0.376471
NewValues are red flaot: 0.556863, green float: 0.517647, blue float: 0.411765
NewValues are red flaot: 0.509804, green float: 0.470588, blue float: 0.364706
NewValues are red flaot: 0.560784, green float: 0.521569, blue float: 0.415686
NewValues are red flaot: 0.600000, green float: 0.560784, blue float: 0.454902
NewValues are red flaot: 0.588235, green float: 0.549020, blue float: 0.450980
NewValues are red flaot: 0.400000, green float: 0.356863, blue float: 0.270588
NewValues are red flaot: 0.486275, green float: 0.443137, blue float: 0.364706
NewValues are red flaot: 0.545098, green float: 0.501961, blue float: 0.423529
NewValues are red flaot: 0.521569, green float: 0.478431, blue float: 0.407843
NewValues are red flaot: 0.490196, green float: 0.439216, blue float: 0.372549
NewValues are red flaot: 0.439216, green float: 0.376471, blue float: 0.313726
NewValues are red flaot: 0.501961, green float: 0.435294, blue float: 0.372549
NewValues are red flaot: 0.462745, green float: 0.392157, blue float: 0.337255
NewValues are red flaot: 0.372549, green float: 0.301961, blue float: 0.247059
NewValues are red flaot: 0.564706, green float: 0.494118, blue float: 0.439216
NewValues are red flaot: 0.568627, green float: 0.498039, blue float: 0.443137
NewValues are red flaot: 0.494118, green float: 0.419608, blue float: 0.364706
NewValues are red flaot: 0.482353, green float: 0.407843, blue float: 0.352941
NewValues are red flaot: 0.443137, green float: 0.364706, blue float: 0.321569
NewValues are red flaot: 0.470588, green float: 0.392157, blue float: 0.349020
NewValues are red flaot: 0.627451, green float: 0.556863, blue float: 0.509804
NewValues are red flaot: 0.835294, green float: 0.764706, blue float: 0.717647
NewValues are red flaot: 0.815686, green float: 0.745098, blue float: 0.698039
NewValues are red flaot: 0.592157, green float: 0.521569, blue float: 0.474510
NewValues are red flaot: 0.537255, green float: 0.466667, blue float: 0.427451
NewValues are red flaot: 0.694118, green float: 0.631373, blue float: 0.580392
NewValues are red flaot: 0.674510, green float: 0.627451, blue float: 0.564706
NewValues are red flaot: 0.678431, green float: 0.643137, blue float: 0.576471
NewValues are red flaot: 0.631373, green float: 0.596078, blue float: 0.529412
NewValues are red flaot: 0.580392, green float: 0.545098, blue float: 0.478431
NewValues are red flaot: 0.592157, green float: 0.564706, blue float: 0.533333
NewValues are red flaot: 0.584314, green float: 0.549020, blue float: 0.521569
NewValues are red flaot: 0.603922, green float: 0.560784, blue float: 0.537255
NewValues are red flaot: 0.686275, green float: 0.643137, blue float: 0.619608
NewValues are red flaot: 0.752941, green float: 0.701961, blue float: 0.670588
NewValues are red flaot: 0.690196, green float: 0.631373, blue float: 0.603922
NewValues are red flaot: 0.615686, green float: 0.549020, blue float: 0.521569
NewValues are red flaot: 0.615686, green float: 0.549020, blue float: 0.521569
NewValues are red flaot: 0.513726, green float: 0.447059, blue float: 0.419608
NewValues are red flaot: 0.431373, green float: 0.372549, blue float: 0.345098
NewValues are red flaot: 0.494118, green float: 0.435294, blue float: 0.407843
NewValues are red flaot: 0.560784, green float: 0.509804, blue float: 0.478431
NewValues are red flaot: 0.831373, green float: 0.788235, blue float: 0.764706
NewValues are red flaot: 0.866667, green float: 0.823529, blue float: 0.800000
NewValues are red flaot: 0.658824, green float: 0.623529, blue float: 0.596078
NewValues are red flaot: 0.941176, green float: 0.913725, blue float: 0.882353
NewValues are red flaot: 0.662745, green float: 0.635294, blue float: 0.603922
NewValues are red flaot: 0.078431, green float: 0.050980, blue float: 0.019608
NewValues are red flaot: 0.356863, green float: 0.329412, blue float: 0.298039
NewValues are red flaot: 0.427451, green float: 0.400000, blue float: 0.376471
NewValues are red flaot: 0.694118, green float: 0.658824, blue float: 0.639216
NewValues are red flaot: 0.894118, green float: 0.858824, blue float: 0.839216
NewValues are red flaot: 0.878431, green float: 0.835294, blue float: 0.819608
NewValues are red flaot: 0.898039, green float: 0.854902, blue float: 0.839216
NewValues are red flaot: 0.741176, green float: 0.698039, blue float: 0.682353
NewValues are red flaot: 0.850980, green float: 0.800000, blue float: 0.776471
NewValues are red flaot: 0.827451, green float: 0.776471, blue float: 0.752941
NewValues are red flaot: 0.650980, green float: 0.600000, blue float: 0.568627
NewValues are red flaot: 0.756863, green float: 0.705882, blue float: 0.670588
NewValues are red flaot: 0.796078, green float: 0.749020, blue float: 0.701961
NewValues are red flaot: 0.760784, green float: 0.713726, blue float: 0.658824
NewValues are red flaot: 0.643137, green float: 0.596078, blue float: 0.541176
NewValues are red flaot: 0.588235, green float: 0.533333, blue float: 0.490196
NewValues are red flaot: 0.600000, green float: 0.529412, blue float: 0.513726
NewValues are red flaot: 0.760784, green float: 0.678431, blue float: 0.705882
NewValues are red flaot: 0.619608, green float: 0.533333, blue float: 0.545098
NewValues are red flaot: 0.654902, green float: 0.568627, blue float: 0.525490
NewValues are red flaot: 0.839216, green float: 0.741176, blue float: 0.654902
NewValues are red flaot: 0.752941, green float: 0.635294, blue float: 0.533333
NewValues are red flaot: 0.447059, green float: 0.298039, blue float: 0.247059
NewValues are red flaot: 0.709804, green float: 0.509804, blue float: 0.576471
NewValues are red flaot: 0.937255, green float: 0.698039, blue float: 0.858824
NewValues are red flaot: 1.000000, green float: 0.721569, blue float: 0.941176
NewValues are red flaot: 0.972549, green float: 0.654902, blue float: 0.925490
NewValues are red flaot: 0.921569, green float: 0.564706, blue float: 0.878431
NewValues are red flaot: 0.976471, green float: 0.592157, blue float: 0.980392
NewValues are red flaot: 0.905882, green float: 0.478431, blue float: 0.968627
NewValues are red flaot: 1.000000, green float: 0.545098, blue float: 1.000000
NewValues are red flaot: 1.000000, green float: 0.521569, blue float: 1.000000
NewValues are red flaot: 0.964706, green float: 0.454902, blue float: 0.941176
NewValues are red flaot: 0.952941, green float: 0.435294, blue float: 0.913725
NewValues are red flaot: 0.886275, green float: 0.356863, blue float: 0.858824
NewValues are red flaot: 0.792157, green float: 0.258824, blue float: 0.784314
NewValues are red flaot: 1.000000, green float: 0.529412, blue float: 1.000000
NewValues are red flaot: 1.000000, green float: 0.545098, blue float: 0.992157
NewValues are red flaot: 0.968627, green float: 0.517647, blue float: 0.874510
NewValues are red flaot: 0.925490, green float: 0.517647, blue float: 0.764706
NewValues are red flaot: 0.905882, green float: 0.525490, blue float: 0.737255
NewValues are red flaot: 0.941176, green float: 0.580392, blue float: 0.835294
NewValues are red flaot: 1.000000, green float: 0.639216, blue float: 0.941176
NewValues are red flaot: 1.000000, green float: 0.627451, blue float: 0.980392
NewValues are red flaot: 0.952941, green float: 0.580392, blue float: 0.909804
NewValues are red flaot: 0.831373, green float: 0.458824, blue float: 0.709804
NewValues are red flaot: 0.694118, green float: 0.396078, blue float: 0.537255
NewValues are red flaot: 0.541176, green float: 0.380392, blue float: 0.396078
NewValues are red flaot: 0.603922, green float: 0.505882, blue float: 0.478431
NewValues are red flaot: 0.474510, green float: 0.356863, blue float: 0.349020
NewValues are red flaot: 0.380392, green float: 0.243137, blue float: 0.258824
NewValues are red flaot: 0.498039, green float: 0.333333, blue float: 0.372549
NewValues are red flaot: 0.607843, green float: 0.423529, blue float: 0.486275
NewValues are red flaot: 0.647059, green float: 0.443137, blue float: 0.533333
NewValues are red flaot: 0.568627, green float: 0.352941, blue float: 0.474510
NewValues are red flaot: 0.631373, green float: 0.411765, blue float: 0.564706
NewValues are red flaot: 0.752941, green float: 0.529412, blue float: 0.690196
NewValues are red flaot: 0.796078, green float: 0.592157, blue float: 0.741176
NewValues are red flaot: 0.674510, green float: 0.494118, blue float: 0.603922
NewValues are red flaot: 0.678431, green float: 0.533333, blue float: 0.564706
NewValues are red flaot: 0.643137, green float: 0.529412, blue float: 0.505882
NewValues are red flaot: 0.458824, green float: 0.368627, blue float: 0.298039
NewValues are red flaot: 0.505882, green float: 0.360784, blue float: 0.329412
NewValues are red flaot: 0.705882, green float: 0.419608, blue float: 0.525490
NewValues are red flaot: 0.784314, green float: 0.423529, blue float: 0.607843
NewValues are red flaot: 0.674510, green float: 0.305882, blue float: 0.509804
NewValues are red flaot: 0.725490, green float: 0.368627, blue float: 0.541176
NewValues are red flaot: 0.933333, green float: 0.627451, blue float: 0.721569
NewValues are red flaot: 0.831373, green float: 0.552941, blue float: 0.670588
NewValues are red flaot: 0.603922, green float: 0.337255, blue float: 0.576471
NewValues are red flaot: 0.654902, green float: 0.356863, blue float: 0.709804
NewValues are red flaot: 0.674510, green float: 0.278431, blue float: 0.756863
NewValues are red flaot: 0.772549, green float: 0.282353, blue float: 0.823529
NewValues are red flaot: 0.858824, green float: 0.282353, blue float: 0.803922
NewValues are red flaot: 0.823529, green float: 0.243137, blue float: 0.721569
NewValues are red flaot: 0.870588, green float: 0.364706, blue float: 0.760784
NewValues are red flaot: 0.662745, green float: 0.294118, blue float: 0.537255
NewValues are red flaot: 0.470588, green float: 0.290196, blue float: 0.298039
NewValues are red flaot: 0.360784, green float: 0.247059, blue float: 0.192157
NewValues are red flaot: 0.509804, green float: 0.337255, blue float: 0.403922
NewValues are red flaot: 0.580392, green float: 0.380392, blue float: 0.501961
NewValues are red flaot: 0.517647, green float: 0.317647, blue float: 0.447059
NewValues are red flaot: 0.509804, green float: 0.305882, blue float: 0.447059
NewValues are red flaot: 0.568627, green float: 0.349020, blue float: 0.501961
NewValues are red flaot: 0.600000, green float: 0.360784, blue float: 0.521569
NewValues are red flaot: 0.650980, green float: 0.384314, blue float: 0.545098
NewValues are red flaot: 0.650980, green float: 0.349020, blue float: 0.521569
NewValues are red flaot: 0.709804, green float: 0.372549, blue float: 0.549020
NewValues are red flaot: 0.674510, green float: 0.333333, blue float: 0.501961
NewValues are red flaot: 0.831373, green float: 0.490196, blue float: 0.658824
NewValues are red flaot: 0.823529, green float: 0.498039, blue float: 0.670588
NewValues are red flaot: 0.819608, green float: 0.525490, blue float: 0.686275
NewValues are red flaot: 0.768627, green float: 0.505882, blue float: 0.666667
NewValues are red flaot: 0.474510, green float: 0.247059, blue float: 0.403922
NewValues are red flaot: 0.380392, green float: 0.188235, blue float: 0.305882
NewValues are red flaot: 0.529412, green float: 0.388235, blue float: 0.443137
NewValues are red flaot: 0.509804, green float: 0.380392, blue float: 0.415686
NewValues are red flaot: 0.513726, green float: 0.352941, blue float: 0.415686
NewValues are red flaot: 0.501961, green float: 0.325490, blue float: 0.403922
NewValues are red flaot: 0.686275, green float: 0.494118, blue float: 0.580392
NewValues are red flaot: 0.580392, green float: 0.376471, blue float: 0.462745
NewValues are red flaot: 0.568627, green float: 0.388235, blue float: 0.439216
NewValues are red flaot: 0.654902, green float: 0.501961, blue float: 0.513726
NewValues are red flaot: 0.482353, green float: 0.372549, blue float: 0.329412
NewValues are red flaot: 0.470588, green float: 0.400000, blue float: 0.305882
NewValues are red flaot: 0.521569, green float: 0.482353, blue float: 0.341176
NewValues are red flaot: 0.533333, green float: 0.521569, blue float: 0.345098
NewValues are red flaot: 0.462745, green float: 0.462745, blue float: 0.266667
NewValues are red flaot: 0.403922, green float: 0.403922, blue float: 0.200000
NewValues are red flaot: 0.403922, green float: 0.403922, blue float: 0.200000
NewValues are red flaot: 0.407843, green float: 0.400000, blue float: 0.207843
NewValues are red flaot: 0.474510, green float: 0.454902, blue float: 0.290196
NewValues are red flaot: 0.431373, green float: 0.411765, blue float: 0.254902
NewValues are red flaot: 0.458824, green float: 0.439216, blue float: 0.282353
NewValues are red flaot: 0.415686, green float: 0.396078, blue float: 0.239216
NewValues are red flaot: 0.411765, green float: 0.392157, blue float: 0.243137
NewValues are red flaot: 0.384314, green float: 0.364706, blue float: 0.215686
NewValues are red flaot: 0.494118, green float: 0.470588, blue float: 0.329412
NewValues are red flaot: 0.513726, green float: 0.490196, blue float: 0.349020
NewValues are red flaot: 0.305882, green float: 0.282353, blue float: 0.149020
NewValues are red flaot: 0.200000, green float: 0.176471, blue float: 0.050980
NewValues are red flaot: 0.274510, green float: 0.250980, blue float: 0.125490
NewValues are red flaot: 0.364706, green float: 0.337255, blue float: 0.223529
NewValues are red flaot: 0.427451, green float: 0.400000, blue float: 0.286275
NewValues are red flaot: 0.470588, green float: 0.443137, blue float: 0.333333
NewValues are red flaot: 0.435294, green float: 0.407843, blue float: 0.298039
NewValues are red flaot: 0.439216, green float: 0.411765, blue float: 0.309804
NewValues are red flaot: 0.466667, green float: 0.423529, blue float: 0.345098
NewValues are red flaot: 0.400000, green float: 0.356863, blue float: 0.278431
NewValues are red flaot: 0.435294, green float: 0.392157, blue float: 0.313726
NewValues are red flaot: 0.529412, green float: 0.486275, blue float: 0.400000
NewValues are red flaot: 0.533333, green float: 0.494118, blue float: 0.396078
NewValues are red flaot: 0.501961, green float: 0.462745, blue float: 0.356863
NewValues are red flaot: 0.505882, green float: 0.466667, blue float: 0.360784
NewValues are red flaot: 0.521569, green float: 0.482353, blue float: 0.376471
NewValues are red flaot: 0.592157, green float: 0.552941, blue float: 0.447059
NewValues are red flaot: 0.396078, green float: 0.356863, blue float: 0.250980
NewValues are red flaot: 0.454902, green float: 0.415686, blue float: 0.317647
NewValues are red flaot: 0.415686, green float: 0.376471, blue float: 0.278431
NewValues are red flaot: 0.447059, green float: 0.403922, blue float: 0.317647
NewValues are red flaot: 0.529412, green float: 0.486275, blue float: 0.407843
NewValues are red flaot: 0.643137, green float: 0.600000, blue float: 0.529412
NewValues are red flaot: 0.584314, green float: 0.533333, blue float: 0.466667
NewValues are red flaot: 0.462745, green float: 0.400000, blue float: 0.337255
NewValues are red flaot: 0.552941, green float: 0.486275, blue float: 0.423529
NewValues are red flaot: 0.462745, green float: 0.392157, blue float: 0.337255
NewValues are red flaot: 0.454902, green float: 0.384314, blue float: 0.329412
NewValues are red flaot: 0.623529, green float: 0.552941, blue float: 0.498039
NewValues are red flaot: 0.552941, green float: 0.482353, blue float: 0.427451
NewValues are red flaot: 0.572549, green float: 0.501961, blue float: 0.447059
NewValues are red flaot: 0.537255, green float: 0.466667, blue float: 0.411765
NewValues are red flaot: 0.494118, green float: 0.415686, blue float: 0.372549
NewValues are red flaot: 0.349020, green float: 0.278431, blue float: 0.231373
NewValues are red flaot: 0.258824, green float: 0.188235, blue float: 0.141176
NewValues are red flaot: 0.396078, green float: 0.325490, blue float: 0.278431
NewValues are red flaot: 0.639216, green float: 0.568627, blue float: 0.529412
NewValues are red flaot: 0.713726, green float: 0.643137, blue float: 0.603922
NewValues are red flaot: 0.623529, green float: 0.552941, blue float: 0.513726
NewValues are red flaot: 0.541176, green float: 0.474510, blue float: 0.435294
NewValues are red flaot: 0.588235, green float: 0.541176, blue float: 0.478431
NewValues are red flaot: 0.572549, green float: 0.537255, blue float: 0.470588
NewValues are red flaot: 0.572549, green float: 0.537255, blue float: 0.470588
NewValues are red flaot: 0.631373, green float: 0.596078, blue float: 0.529412
NewValues are red flaot: 0.666667, green float: 0.631373, blue float: 0.596078
NewValues are red flaot: 0.705882, green float: 0.670588, blue float: 0.635294
NewValues are red flaot: 0.654902, green float: 0.615686, blue float: 0.580392
NewValues are red flaot: 0.560784, green float: 0.521569, blue float: 0.486275
NewValues are red flaot: 0.607843, green float: 0.556863, blue float: 0.533333
NewValues are red flaot: 0.647059, green float: 0.596078, blue float: 0.572549
NewValues are red flaot: 0.337255, green float: 0.278431, blue float: 0.258824
NewValues are red flaot: 0.407843, green float: 0.349020, blue float: 0.329412
NewValues are red flaot: 0.486275, green float: 0.427451, blue float: 0.407843
NewValues are red flaot: 0.384314, green float: 0.325490, blue float: 0.305882
NewValues are red flaot: 0.486275, green float: 0.427451, blue float: 0.407843
NewValues are red flaot: 0.537255, green float: 0.486275, blue float: 0.462745
NewValues are red flaot: 0.866667, green float: 0.827451, blue float: 0.792157
NewValues are red flaot: 0.831373, green float: 0.792157, blue float: 0.756863
NewValues are red flaot: 0.396078, green float: 0.360784, blue float: 0.325490
NewValues are red flaot: 0.866667, green float: 0.831373, blue float: 0.796078
NewValues are red flaot: 0.913725, green float: 0.878431, blue float: 0.843137
NewValues are red flaot: 0.541176, green float: 0.505882, blue float: 0.470588
NewValues are red flaot: 0.349020, green float: 0.313726, blue float: 0.278431
NewValues are red flaot: 0.223529, green float: 0.188235, blue float: 0.160784
NewValues are red flaot: 0.525490, green float: 0.490196, blue float: 0.470588
NewValues are red flaot: 0.866667, green float: 0.831373, blue float: 0.811765
NewValues are red flaot: 0.956863, green float: 0.917647, blue float: 0.909804
NewValues are red flaot: 0.850980, green float: 0.811765, blue float: 0.803922
NewValues are red flaot: 0.701961, green float: 0.662745, blue float: 0.654902
NewValues are red flaot: 0.670588, green float: 0.627451, blue float: 0.611765
NewValues are red flaot: 0.803922, green float: 0.760784, blue float: 0.737255
NewValues are red flaot: 0.803922, green float: 0.764706, blue float: 0.729412
NewValues are red flaot: 0.686275, green float: 0.635294, blue float: 0.600000
NewValues are red flaot: 0.670588, green float: 0.623529, blue float: 0.576471
NewValues are red flaot: 0.658824, green float: 0.611765, blue float: 0.556863
NewValues are red flaot: 0.631373, green float: 0.580392, blue float: 0.517647
NewValues are red flaot: 0.643137, green float: 0.580392, blue float: 0.517647
NewValues are red flaot: 0.564706, green float: 0.486275, blue float: 0.443137
NewValues are red flaot: 0.572549, green float: 0.474510, blue float: 0.490196
NewValues are red flaot: 0.733333, green float: 0.615686, blue float: 0.647059
NewValues are red flaot: 0.800000, green float: 0.674510, blue float: 0.678431
NewValues are red flaot: 0.807843, green float: 0.670588, blue float: 0.662745
NewValues are red flaot: 0.682353, green float: 0.517647, blue float: 0.525490
NewValues are red flaot: 0.768627, green float: 0.560784, blue float: 0.631373
NewValues are red flaot: 0.858824, green float: 0.600000, blue float: 0.788235
NewValues are red flaot: 0.964706, green float: 0.670588, blue float: 0.925490
NewValues are red flaot: 0.980392, green float: 0.643137, blue float: 0.937255
NewValues are red flaot: 0.949020, green float: 0.584314, blue float: 0.901961
NewValues are red flaot: 0.984314, green float: 0.592157, blue float: 0.937255
NewValues are red flaot: 0.980392, green float: 0.552941, blue float: 0.964706
NewValues are red flaot: 0.952941, green float: 0.501961, blue float: 1.000000
NewValues are red flaot: 0.996078, green float: 0.517647, blue float: 1.000000
NewValues are red flaot: 0.980392, green float: 0.478431, blue float: 1.000000
NewValues are red flaot: 0.878431, green float: 0.380392, blue float: 0.933333
NewValues are red flaot: 0.843137, green float: 0.372549, blue float: 0.898039
NewValues are red flaot: 0.862745, green float: 0.411765, blue float: 0.917647
NewValues are red flaot: 0.843137, green float: 0.419608, blue float: 0.898039
NewValues are red flaot: 0.870588, green float: 0.474510, blue float: 0.890196
NewValues are red flaot: 0.976471, green float: 0.603922, blue float: 0.921569
NewValues are red flaot: 1.000000, green float: 0.705882, blue float: 0.929412
NewValues are red flaot: 0.890196, green float: 0.545098, blue float: 0.701961
NewValues are red flaot: 0.894118, green float: 0.545098, blue float: 0.725490
NewValues are red flaot: 0.949020, green float: 0.588235, blue float: 0.882353
NewValues are red flaot: 0.964706, green float: 0.607843, blue float: 0.980392
NewValues are red flaot: 0.925490, green float: 0.584314, blue float: 0.996078
NewValues are red flaot: 0.905882, green float: 0.588235, blue float: 0.952941
NewValues are red flaot: 0.827451, green float: 0.556863, blue float: 0.768627
NewValues are red flaot: 0.662745, green float: 0.462745, blue float: 0.529412
NewValues are red flaot: 0.482353, green float: 0.380392, blue float: 0.321569
NewValues are red flaot: 0.537255, green float: 0.474510, blue float: 0.345098
NewValues are red flaot: 0.494118, green float: 0.411765, blue float: 0.290196
